Date : 2022-09-16 20:20:54
Directory : d:\workspace\playground\vscode\src
Total : 3617 files,  821382 codes, 99587 comments, 157398 blanks, all 1078367 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\xterm\xtermTerminal.ts                                               | TypeScript         |        570 |         49 |         66 |        685 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\common\environmentVariable.contribution.ts                                   | TypeScript         |          4 |          4 |          3 |         11 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\common\environmentVariable.ts                                                | TypeScript         |         56 |         40 |         21 |        117 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\common\environmentVariableCollection.ts                                      | TypeScript         |        122 |         17 |         22 |        161 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\common\environmentVariableService.ts                                         | TypeScript         |         90 |         11 |         19 |        120 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\common\environmentVariableShared.ts                                          | TypeScript         |         21 |          5 |          7 |         33 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\common\history.ts                                                            | TypeScript         |        367 |         73 |         40 |        480 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\common\remoteTerminalChannel.ts                                              | TypeScript         |        273 |          7 |         31 |        311 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\common\terminal.ts                                                           | TypeScript         |        659 |         45 |         57 |        761 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\common\terminalColorRegistry.ts                                              | TypeScript         |        256 |          9 |          7 |        272 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\common\terminalConfiguration.ts                                              | TypeScript         |        552 |         11 |          8 |        571 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\common\terminalContextKey.ts                                                 | TypeScript         |         62 |         36 |         33 |        131 |
